read_name,ont_barcode,index_barcode
fa170ef4-4cc1-4fcc-afe7-5acb3442a073 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14438 ch=26 start_time=2022-06-03T14:31:37Z barcode=bw_000,BC33,000
1b30b1cd-c976-449e-978a-bde8824c46a6 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6883 ch=57 start_time=2022-06-03T13:14:40Z barcode=bw_000,BC33,000
bc6abadc-669d-4779-a74e-226f002fd36b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=7135 ch=52 start_time=2022-06-03T13:14:53Z barcode=bw_000,BC33,000
370aa062-32f4-4d3f-a8c5-3336484e3a3c runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=7283 ch=38 start_time=2022-06-03T13:15:20Z barcode=bw_000,BC33,000
2e8fed7b-4969-4ed6-aede-388f69c3284f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6346 ch=97 start_time=2022-06-03T13:15:53Z barcode=bw_000,BC33,000
b3694bb7-4338-470b-a492-820ef6b0ff01 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=6907 ch=57 start_time=2022-06-03T13:15:01Z barcode=bw_000,BC33,000
c80d88c4-26e2-4bde-9e1a-443993e4be90 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=9941 ch=106 start_time=2022-06-03T13:46:25Z barcode=bw_000,BC33,000
ed104782-84bd-45b2-bd46-5d22ae55379b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=10366 ch=105 start_time=2022-06-03T13:47:16Z barcode=bw_000,BC33,000
ee13a563-26e7-428f-bdc6-aa1c0ff94dce runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=9842 ch=117 start_time=2022-06-03T13:51:52Z barcode=bw_000,BC01,000
7246b632-322d-429b-b309-06eafcd15ead runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=9858 ch=83 start_time=2022-06-03T13:46:30Z barcode=bw_000,BC33,000
017826ba-5abc-40ea-af27-cfa1759eb9b2 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=14254 ch=21 start_time=2022-06-03T14:48:29Z barcode=bw_000,BC33,000
7168d1e5-08bd-45fb-aa1e-339fe6ba1f0b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=20705 ch=108 start_time=2022-06-03T15:44:54Z barcode=bw_000,BC33,000
b1f840af-a90f-4b03-9b5e-430f812abe22 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=77736 ch=3 start_time=2022-06-03T15:46:43Z barcode=bw_000,BC33,000
b11179b6-2c89-45a8-b55f-5acfff1f5b54 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=21043 ch=57 start_time=2022-06-03T15:43:36Z barcode=bw_000,BC33,000
920e5485-e59d-4dfa-9c6a-83f552e6d270 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24596 ch=81 start_time=2022-06-03T15:45:32Z barcode=bw_000,BC33,000
5b82ab3e-8d10-4f6b-9727-17153f003718 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=20109 ch=93 start_time=2022-06-03T15:44:23Z barcode=bw_000,BC33,000
342e3b9f-58d8-44be-a9e2-0742a428d071 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=74345 ch=3 start_time=2022-06-03T15:42:42Z barcode=bw_000,BC33,000
30c83b12-0d06-400d-bd15-99f8ecbbdd02 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=7163 ch=6 start_time=2022-06-03T13:12:16Z barcode=bw_000,BC33,000
f507a578-6005-4f7e-88a5-d1c4277003d4 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=2352 ch=113 start_time=2022-06-03T12:35:19Z barcode=bw_000,BC33,000
1abd14f5-4e25-496c-9e0e-166513dc244b runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=2615 ch=24 start_time=2022-06-03T12:34:48Z barcode=bw_000,BC33,000
eba633b0-8ec0-43ae-8b24-16614059b687 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=2319 ch=110 start_time=2022-06-03T12:34:44Z barcode=bw_000,BC33,000
df50c105-da69-4c5c-b724-fd2de5dd32f2 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=21513 ch=18 start_time=2022-06-03T16:23:05Z barcode=bw_000,BC33,000
e6e2fbe4-a386-4242-860a-aa6a4c2437fd runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24137 ch=108 start_time=2022-06-03T16:22:31Z barcode=bw_000,BC33,000
5e4e02f8-8d6d-459e-9a0f-2392917e9054 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=27033 ch=92 start_time=2022-06-03T16:27:13Z barcode=bw_000,BC33,000
a5e4ed85-00b0-4ccc-bca9-0a134c8319f1 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=24215 ch=13 start_time=2022-06-03T16:27:43Z barcode=bw_000,BC33,000
9e40e562-a857-4749-9b1f-1838dfcc517f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=17255 ch=26 start_time=2022-06-03T15:02:20Z barcode=bw_000,BC33,000
19d4d912-90d0-47ab-9c3b-56f7f31ad4c4 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=3225 ch=105 start_time=2022-06-03T12:40:09Z barcode=bw_000,BC33,000
d95c8511-24cf-40e2-958a-5f7c2d43104f runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=15025 ch=37 start_time=2022-06-03T14:24:04Z barcode=bw_000,BC33,000
d907ff95-eb63-49b2-a331-5d72f8157c7a runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=12547 ch=97 start_time=2022-06-03T14:25:23Z barcode=bw_000,BC33,000
7b2839be-ea8e-42d7-98cc-c2080f46e6c5 runid=1b7bf189bb6e7b6627c717b20111ff1777ce9409 sampleid=220603anj read=9957 ch=93 start_time=2022-06-03T13:54:09Z barcode=bw_000,BC33,000
